Year,TFR
1950,5.907
1951,5.906
1952,5.904
1953,5.903
1954,5.902
1955,5.9
1956,5.899
1957,5.897
1958,5.896
1959,5.895
1960,5.894
1961,5.892
1962,5.891
1963,5.89
1964,5.857
1965,5.823
1966,5.79
1967,5.756
1968,5.723
1969,5.66
1970,5.598
1971,5.535
1972,5.473
1973,5.41
1974,5.323
1975,5.236
1976,5.148
1977,5.061
1978,4.974
1979,4.916
1980,4.857
1981,4.799
1982,4.74
1983,4.682
1984,4.599
1985,4.516
1986,4.432
1987,4.349
1988,4.266
1989,4.179
1990,4.093
1991,4.006
1992,3.92
1993,3.833
1994,3.763
1995,3.693
1996,3.623
1997,3.553
1998,3.483
1999,3.414
2000,3.346
2001,3.277
2002,3.209
2003,3.14
2004,3.071
2005,3.002
2006,2.934
2007,2.865
2008,2.796
2009,2.716
2010,2.636
2011,2.556
2012,2.476
2013,2.396
2014,2.365
2015,2.334
2016,2.302
2017,2.271
2018,2.24
2019,2.22
,
2021,2.08
2031,1.47
2041,0.86
2051,0.25
