Census year,Persons,Males,Females,Sex Ratio
1901,24649,18695,5954,318
1911,26459,19570,6889,352
1921,27086,20793,6293,303
1931,29463,19702,9761,495
1941,33768,21458,12310,574
1951,30971,19055,11916,625
1961,63548,39304,24244,617
1971,115133,70027,45106,644
1981,188741,107261,81480,760
1991,280661,154369,126292,818
2001,356152,192972,163180,846
2011,380581,202871,177710,876
Predicted Values,,,,
2021,350917,190325,160592,844
2031,384940,208245,176695,848
2041,418963,226166,192797,852
2051,452986,244087,208899,856
