Census year,Persons,Males,Females,Sex Ratio
1901,19065921,9607091,9458830,985
1911,21447412,10769322,10678090,992
1921,21420448,10749220,10671228,993
1931,24203573,12183673,12019900,987
1941,27289340,13782365,13506975,980
1951,31115259,15670565,15444694,986
1961,35983447,18161671,17821776,981
1971,43502708,22008663,21494045,977
1981,53551026,27109616,26441410,975
1991,66508008,33724581,32783427,972
2001,76210007,38527413,37682594,978
2011,84580777,42442146,42138631,993
Predicted Values,,,,
2021,81377371,41083383,40293987,981
2031,87424172,44138053,43286119,981
2041,93470974,47192724,46278250,981
2051,99517775,50247394,49270382,981
