Census year,Persons,Males,Females,Sex Ratio
1901,3289680,1714316,1575364,919
1911,3848617,2010211,1838406,915
1921,4636980,2445300,2191680,896
1931,5560371,2966568,2593803,874
1941,6694790,3569762,3125028,875
1951,8028856,4298773,3730083,868
1961,10837329,5798376,5038953,869
1971,14625152,7714240,6910912,896
1981,18041248,9444037,8597211,910
1991,22414322,11657989,10756333,923
2001,26655528,13777037,12878491,935
2011,31205576,15939443,15266133,958
Predicted Values,,,,
2021,29481592,15259528,14222064,932
2031,32019292,16564378,15454915,933
2041,34556993,17869227,16687766,934
2051,37094694,19174077,17920617,935
