Census year,Persons,Males,Females,Sex Ratio
1901,21243632,10308300,10935332,1061
1911,21567159,10516050,11051109,1051
1921,21358905,10573105,10785800,1020
1931,23438371,11748053,11690318,995
1941,26302771,13138759,13164012,1002
1951,29085017,14545921,14539096,1000
1961,34840968,17375442,17465526,1005
1971,42126236,21530724,20595512,957
1981,52302665,26850116,25452549,948
1991,64530554,33838238,30692316,907
2001,82998509,43243795,39754714,919
2011,104099452,54278157,49821295,918
Predicted Values,,,,
2021,88295252,46069565,42225686,917
2031,95162544,49721977,45440566,914
2041,102029836,53374389,48655447,912
2051,108897128,57026801,51870327,910
