Census year,Persons,Males,Females,Sex Ratio
1901,21967,12402,9565,771
1911,18437,10717,7720,720
1921,18133,10405,7728,743
1931,19783,11300,8483,751
1941,22574,12807,9767,763
1951,24261,13623,10638,781
1961,119881,72576,47305,652
1971,257251,147080,110171,749
1981,451610,255278,196332,769
1991,642015,358614,283401,790
2001,900635,506938,393697,777
2011,1055450,580663,474787,818
Predicted Values,,,,
2021,901319,503215,398104,791
2031,994445,555089,439356,792
2041,1087571,606963,480608,792
2051,1180697,658837,521860,792
