Census year,Persons,Males,Females,Sex Ratio
1901,4181554,2043375,2138179,1046
1911,5191583,2545887,2645696,1039
1921,5264976,2579793,2685183,1041
1931,6028778,2951046,3077732,1043
1941,6814886,3354378,3460508,1032
1951,7456706,3683282,3773424,1024
1961,9154498,4558098,4596400,1008
1971,11637494,5825084,5812410,998
1981,14010337,7019698,6990639,996
1991,17614928,8872620,8742308,985
2001,20833803,10474218,10359585,989
2011,25545198,12832895,12712303,991
Predicted Values,,,,
2021,22924179,11532600,11391579,988
2031,24736427,12451200,12285227,987
2041,26548676,13369800,13178876,986
2051,28360925,14288401,14072524,985
