Census year,Persons,Males,Females,Sex Ratio
1900,24280,12386,11894,960
1910,29020,14754,14266,967
1921,31048,16008,15040,940
1931,38260,20017,18243,911
1940,40441,21009,19432,925
1950,41532,21345,20187,946
1962,57963,29524,28439,963
1971,74170,36964,37206,1007
1981,103676,52515,51161,974
1991,138477,70953,67524,952
2001,220490,121666,98824,812
2011,343709,193760,149949,774
Predicted Values,,,,
2021,240408,131226,109182,832
2031,262653,143535,119118,830
2041,284899,155844,129054,828
2051,307144,168153,138991,827
