Census year,Persons,Males,Females,Sex Ratio
1900,32005,16046,15959,995
1910,32470,15919,16551,1040
1921,31410,14659,16751,1143
1931,36429,17445,18984,1088
1940,42811,20584,22227,1080
1950,48611,22874,25737,1125
1960,36670,16909,19761,1169
1971,62651,29852,32799,1099
1981,78981,38298,40683,1062
1991,101586,51595,49991,969
2001,158204,92512,65692,710
2011,243247,150301,92946,618
Predicted Values,,,,
2021,170934,98490,72445,736
2031,185535,107342,78193,728
2041,200135,116194,83941,722
2051,214736,125046,89690,717
