Census year,Persons,Males,Females,Sex Ratio
1901,405819,217921,187898,862
1911,413851,230865,182986,793
1921,488452,281777,206675,733
1931,636246,369497,266749,722
1941,917939,535236,382703,715
1951,1744072,986538,757534,768
1961,2658612,1489378,1169234,785
1971,4065698,2257515,1808183,801
1981,6220406,3440081,2780325,808
1991,9420644,5155512,4265132,827
2001,13850507,7607234,6243273,821
2011,16787941,8987326,7800615,868
Predicted Values,,,,
2021,13935785,7584214,6351572,837
2031,15341160,8346415,6994745,838
2041,16746535,9108616,7637919,839
2051,18151910,9870817,8281093,839
