Census year,Persons,Males,Females,Sex Ratio
1900,475513,227393,248120,1091
1910,486752,230923,255829,1108
1921,469494,221429,248065,1120
1931,505281,241936,263345,1088
1940,540925,259591,281334,1084
1950,547448,257267,290181,1128
1960,589997,285625,304372,1066
1971,795120,401362,393758,981
1981,1007749,510152,497597,975
1991,1169793,594790,575003,967
2001,1347668,687248,660420,961
2011,1458545,739140,719405,973
Predicted Values,,,,
2021,1391337,709470,681867,961
2031,1484353,758601,725752,957
2041,1577369,807732,769637,953
2051,1670385,856863,813522,949
