Census year,Persons,Males,Females,Sex Ratio
1901,9094748,4654875,4439873,954
1911,9803587,5037852,4765735,946
1921,10174989,5233462,4941527,944
1931,11489828,5906646,5583182,945
1941,13701551,7060352,6641199,941
1951,16262657,8331922,7930735,952
1961,20633350,10633902,9999448,940
1971,26697475,13802494,12894981,934
1981,34085799,17552640,16533159,942
1991,41309582,21355209,19954373,934
2001,50671017,26385577,24285440,920
2011,60439692,31491260,28948432,919
Predicted Values,,,,
2021,55065547,28596433,26469114,926
2031,59635063,30977344,28657720,925
2041,64204580,33358254,30846326,925
2051,68774097,35739164,33034932,924
