Census year,Persons,Males,Females,Sex Ratio
1901,4623064,2476390,2146674,867
1911,4174677,2274909,1899768,835
1921,4255892,2307985,1947907,844
1931,4559917,2473228,2086689,844
1941,5272829,2821783,2451046,869
1951,5673597,3031612,2641985,871
1961,7590524,4062787,3527737,868
1971,10036431,5377044,4659387,867
1981,12922119,6909679,6012440,870
1991,16463648,8827474,7636174,865
2001,21144564,11363953,9780611,861
2011,25351462,13494734,11856728,879
Predicted Values,,,,
2021,22086357,11804499,10281859,871
2031,23919275,12781837,11137438,871
2041,25752192,13759176,11993017,872
2051,27585110,14736514,12848596,872
