Census year,Persons,Males,Females,Sex Ratio
1901,1920294,1019069,901225,884
1911,1896944,1004183,892761,889
1921,1928206,1020201,908005,890
1931,2029113,1069540,959573,897
1941,2263245,1197620,1065625,890
1951,2385981,1247826,1138155,912
1961,2812463,1451334,1361129,938
1971,3460434,1766957,1693477,958
1981,4280818,2169931,2110887,973
1991,5170877,2617467,2553410,976
2001,6077900,3087940,2989960,968
2011,6864602,3481873,3382729,972
Predicted Values,,,,
2021,6378587,3225684,3152902,977
2031,6833102,3450995,3382106,980
2041,7287616,3676307,3611310,982
2051,7742131,3901618,3840514,984
