Census year,Persons,Males,Females,Sex Ratio
1901,2139362,1136766,1002596,882
1911,2292535,1222305,1070230,876
1921,2424359,1296205,1128154,870
1931,2670208,1431801,1238407,865
1941,2946728,1577021,1369707,869
1951,3253852,1736827,1517025,873
1961,3560976,1896633,1664343,878
1971,4616632,2458315,2158317,878
1981,5987389,3164660,2822729,892
1991,7837051,4142082,3694969,892
2001,10143700,5360926,4782774,892
2011,12541302,6640662,5900640,889
Predicted Values,,,,
2021,10599813,5607916,4991896,890
2031,11456013,6059593,5396420,891
2041,12312214,6511270,5800944,891
2051,13168415,6962947,6205468,891
