Census year,Persons,Males,Females,Sex Ratio
1901,6068233,2985966,3082267,1032
1911,6747122,3338629,3408493,1021
1921,6767770,3380905,3386865,1002
1931,7908737,3976450,3932287,989
1941,8868069,4483780,4384289,978
1951,9697254,4944043,4753211,961
1961,11606489,5921901,5684588,960
1971,14227133,7316220,6910913,945
1981,17612069,9080444,8531625,940
1991,21843911,11363853,10480058,922
2001,26945829,13885037,13060792,941
2011,32988134,16930315,16057819,948
Predicted Values,,,,
2021,29044836,15009294,14035541,935
2031,31317365,16195243,15122122,934
2041,33589894,17381192,16208702,933
2051,35862423,18567140,17295283,931
