Census year,Persons,Males,Females,Sex Ratio
1901,13054754,6582105,6472649,983
1911,13525251,6827801,6697450,981
1921,13377599,6793718,6583881,969
1931,14632992,7445458,7187534,965
1941,16255368,8294043,7961325,960
1951,19401956,9866923,9535033,966
1961,23586772,12040923,11545849,959
1971,29299014,14971900,14327114,957
1981,37135714,18922627,18213087,963
1991,44977201,22951917,22025284,960
2001,52850562,26898918,25951644,965
2011,61095297,30966657,30128640,973
Predicted Values,,,,
2021,56888775,28961407,27927368,964
2031,61292273,31204662,30087611,964
2041,65695771,33447917,32247854,964
2051,70099268,35691172,34408097,964
