Census year,Persons,Males,Females,Sex Ratio
1901,6396262,3191466,3204796,1004
1911,7147673,3559425,3588248,1008
1921,7802127,3879458,3922669,1011
1931,9507050,4702951,4804099,1022
1941,11031541,5443296,5588245,1027
1951,13549118,6681901,6867217,1028
1961,16903715,8361927,8541788,1022
1971,21347375,10587851,10759524,1016
1981,25453680,12527767,12925913,1032
1991,29098518,14288995,14809523,1036
2001,31841374,15468614,16372760,1058
2011,33406061,16027412,17378649,1084
Predicted Values,,,,
2021,35573581,17305906,18267675,1056
2031,38309459,18625775,19683683,1057
2041,41045337,19945645,21099692,1058
2051,43781215,21265514,22515701,1059
