Census year,Persons,Males,Females,Sex Ratio
1901,12679214,6429374,6249840,972
1911,14249382,7245404,7003978,967
1921,13906774,7133621,6773153,949
1931,15326879,7871541,7455338,947
1941,17175722,8825634,8350088,946
1951,18614931,9571722,9043209,945
1961,23217910,12020106,11197804,932
1971,30016625,15630250,14386375,920
1981,38168507,19866607,18301900,921
1991,48566242,25394673,23171569,912
2001,60348023,31443652,28904371,919
2011,72626809,37612306,35014503,931
Predicted Values,,,,
2021,63914026,33286955,30627071,920
2031,69068786,35984372,33084414,919
2041,74223547,38681790,35541757,919
2051,79378307,41379207,37999100,918
