Census year,Persons,Males,Females,Sex Ratio
1901,19391643,9802129,9589514,978
1911,21474523,10922671,10551852,966
1921,20849666,10692865,10156801,950
1931,23959300,12305958,11653342,947
1941,26832758,13769460,13063298,949
1951,32002564,16490039,15512525,941
1961,39553718,20428882,19124836,936
1971,50412235,26116351,24295884,930
1981,62782818,32414432,30368386,937
1991,78937187,40825618,38111569,934
2001,96878627,50400596,46478031,922
2011,112374333,58243056,54131277,929
Predicted Values,,,,
2021,102888956,53396520,49492435,927
2031,111212264,57734292,53477973,926
2041,119535573,62072063,57463510,926
2051,127858882,66409835,61449047,925
