Census year,Persons,Males,Females,Sex Ratio
1901,284465,139632,144833,1037
1911,346222,170666,175556,1029
1921,384016,188119,195897,1041
1931,445606,215815,229791,1065
1941,512069,249183,262886,1055
1951,577635,283685,293950,1036
1961,780037,387058,392979,1015
1971,1072753,541675,531078,980
1981,1420953,721006,699947,971
1991,1837149,938359,898790,958
2001,2293896,1161952,1131944,974
2011,2855794,1438586,1417208,985
Predicted Values,,,,
2021,2493613,1262869,1230744,975
2031,2713008,1374647,1338360,974
2041,2932402,1486426,1445977,973
2051,3151797,1598204,1553593,972
