Census year,Persons,Males,Females,Sex Ratio
1901,340524,167256,173268,1036
1911,394005,195706,198299,1013
1921,422403,211216,211187,1000
1931,480837,243993,236844,971
1941,555820,282666,273154,966
1951,605674,310706,294968,949
1961,769380,397288,372092,937
1971,1011699,520967,490732,942
1981,1335819,683710,652109,954
1991,1774778,907687,867091,955
2001,2318822,1176087,1142735,972
2011,2966889,1491832,1475057,989
Predicted Values,,,,
2021,2478802,1259755,1219047,968
2031,2693789,1369088,1324702,968
2041,2908776,1478420,1430356,967
2051,3123763,1587753,1536010,967
