Census year,Persons,Males,Females,Sex Ratio
1901,82434,39004,43430,1113
1911,91204,43028,48176,1120
1921,98406,46652,51754,1109
1931,124404,59186,65218,1102
1941,152786,73855,78931,1069
1951,196202,96136,100066,1041
1961,266063,132465,133598,1009
1971,332390,170824,161566,946
1981,493757,257239,236518,919
1991,689756,358978,330778,921
2001,888573,459109,429464,935
2011,1097206,555339,541867,976
Predicted Values,,,,
2021,942773,484807,457966,945
2031,1029954,530011,499943,943
2041,1117135,575214,541921,942
2051,1204316,620418,583898,941
