Census year,Persons,Males,Females,Sex Ratio
1901,101550,51473,50077,973
1911,149038,74796,74242,993
1921,158801,79738,79063,992
1931,178844,89536,89308,997
1941,189641,93831,95810,1021
1951,212975,106551,106424,999
1961,369200,191027,178173,933
1971,516449,276084,240365,871
1981,774930,415910,359020,863
1991,1209546,641282,568264,886
2001,1990036,1047141,942895,900
2011,1978502,1024649,953853,931
Predicted Values,,,,
2021,1758999,923955,835044,904
2031,1929236,1013640,915596,903
2041,2099473,1103325,996148,903
2051,2269710,1193010,1076699,903
