Census year,Persons,Males,Females,Sex Ratio
1901,10302917,5058100,5244817,1037
1911,11378875,5535632,5843243,1056
1921,11158586,5350227,5808359,1086
1931,12491056,6042255,6448801,1067
1941,13767988,6706487,7061501,1053
1951,14645946,7242892,7403054,1022
1961,17548846,8770586,8778260,1001
1971,21944615,11041083,10903532,988
1981,26370271,13309786,13060485,981
1991,31659736,16064146,15595590,971
2001,36804660,18660570,18144090,972
2011,41974218,21212136,20762082,979
Predicted Values,,,,
2021,39418066,19999918,19418148,971
2031,42276644,21474342,20802302,969
2041,45135222,22948767,22186455,967
2051,47993800,24423191,23570609,965
