Census year,Persons,Males,Females,Sex Ratio
1901,246354,119531,126823,1061
1911,257179,124961,132218,1058
1921,244156,118953,125203,1053
1948,317253,156275,160978,1030
1961,369079,183347,185732,1013
1971,471707,237112,234595,989
1981,604471,304561,299910,985
1991,807785,408081,399704,979
2001,974345,486961,487384,1001
2011,1247953,612511,635442,1037
Predicted Values,,,,
2021,1050242,523959,526283,1004
2031,1131190,564534,566656,1004
2041,1212139,605110,607029,1003
2051,1293087,645686,647401,1003
