Census year,Persons,Males,Females,Sex Ratio
1901,7544790,4118386,3426404,832
1911,6731510,3782236,2949274,780
1921,7152811,3976180,3176631,799
1931,8012325,4415292,3597033,815
1941,9600236,5228280,4371956,836
1951,9160500,4968206,4192294,844
1961,11135069,6007566,5127503,854
1971,13551060,7266515,6284545,865
1981,16788915,8937210,7851705,879
1991,20281969,10778034,9503935,882
2001,24358999,12985045,11373954,876
2011,27743338,14639465,13103873,895
Predicted Values,,,,
2021,25560707,13529757,12030950,889
2031,27415412,14494560,12920851,891
2041,29270116,15459364,13810752,893
2051,31124821,16424167,14700654,895
