Census year,Persons,Males,Females,Sex Ratio
1901,10294090,5403989,4890101,905
1911,10983509,5756206,5227303,908
1921,10292648,5429378,4863270,896
1931,11747974,6160610,5587364,907
1941,13863859,7274679,6589180,906
1951,15970774,8313883,7656891,921
1961,20155602,10564082,9591520,908
1971,25765806,13484383,12281423,911
1981,34261862,17854154,16407708,919
1991,44005990,23042780,20963210,910
2001,56507188,29420011,27087177,921
2011,68548437,35550997,32997440,928
Predicted Values,,,,
2021,59570215,31003812,28566403,921
2031,64601559,33616512,30985047,922
2041,69632904,36229212,33403692,922
2051,74664248,38841912,35822336,922
