Census year,Persons,Males,Females,Sex Ratio
1901,59014,30795,28219,916
1911,87920,45059,42861,951
1921,81721,41492,40229,970
1931,109808,55825,53983,967
1941,121520,63289,58231,920
1951,137725,72210,65515,907
1961,162189,85193,76996,904
1971,209843,112662,97181,863
1981,316385,172440,143945,835
1991,406457,216427,190030,878
2001,540851,288484,252367,875
2011,610577,323070,287507,890
Predicted Values,,,,
2021,549252,293183,256069,873
2031,597290,318968,278322,873
2041,645329,344753,300576,872
2051,693368,370538,322829,871
