Census year,Persons,Males,Females,Sex Ratio
1901,19252630,9419398,9833232,1044
1911,20902616,10236951,10665665,1042
1921,21628518,10659489,10969029,1029
1931,23472099,11577988,11894111,1027
1941,26267507,13056967,13210540,1012
1951,30119047,15003724,15115323,1007
1961,33686953,16910978,16775975,992
1971,41199168,20828021,20371147,978
1981,48408077,24487624,23920453,977
1991,55858946,28298975,27559971,974
2001,62405679,31400909,31004770,987
2011,72147030,36137975,36009055,996
Predicted Values,,,,
2021,69037092,34856696,34180396,981
2031,73820385,37295944,36524441,979
2041,78603678,39735192,38868486,978
2051,83386971,42174441,41212530,977
