Census year,Persons,Males,Females,Sex Ratio
1901,173325,92495,80830,874
1911,229613,121820,107793,885
1921,304437,161515,142922,885
1931,382450,202932,179518,885
1941,513010,272025,240985,886
1951,639029,335589,303440,904
1961,1142005,591237,550768,932
1971,1556342,801126,755216,943
1981,2053058,1054846,998212,946
1991,2757205,1417930,1339275,945
2001,3199203,1642225,1556978,948
2011,3673917,1874376,1799541,960
Predicted Values,,,,
2021,3530486,1809050,1721436,952
2031,3860515,1977517,1882997,952
2041,4190544,2145985,2044558,953
2051,4520572,2314453,2206119,953
