Census year,Persons,Males,Females,Sex Ratio
1901,46647804,24066836,22580968,938
1911,46012663,24021001,21991662,916
1921,44556427,23347896,21208531,908
1931,47478533,24945773,22532760,903
1941,53920630,28269504,25651126,907
1951,60273743,31581889,28691854,908
1961,70143635,36784048,33359587,907
1971,83848797,44701182,39147615,876
1981,105136540,55861688,49274852,882
1991,132061653,70396062,61665591,876
2001,166197921,87565369,78632552,898
2011,199812341,104480510,95331831,912
Predicted Values,,,,
2021,173620244,91672957,81947288,894
2031,186791427,98648005,88143423,894
2041,199962610,105623052,94339557,893
2051,213133792,112598100,100535692,893
