Census year,Persons,Males,Females,Sex Ratio
1901,1979866,1032166,947700,918
1911,2142258,1123165,1019093,907
1921,2115984,1104586,1011398,916
1931,2301019,1202594,1098425,913
1941,2614540,1371233,1243307,907
1951,2945929,1518844,1427085,940
1961,3610938,1854269,1756669,947
1971,4492724,2315453,2177271,940
1981,5725972,2957847,2768125,936
1991,7050634,3640895,3409739,937
2001,8489349,4325924,4163425,962
2011,10086292,5137773,4948519,963
Predicted Values,,,,
2021,9105263,4655207,4450056,956
2031,9819463,5017742,4801722,957
2041,10533664,5380277,5153387,958
2051,11247865,5742812,5505053,959
