Census year,Persons,Males,Females,Sex Ratio
1901,16940088,8708978,8231110,945
1911,17998769,9349419,8649350,925
1921,17474348,9173148,8301200,905
1931,18897036,9997035,8900001,890
1941,23229552,12545269,10684283,852
1951,26299980,14105519,12194461,865
1961,34926279,18599144,16327135,878
1971,44312011,23435987,20876024,891
1981,54580647,28560901,26019746,911
1991,68077965,35510633,32567332,917
2001,80176197,41465985,38710212,934
2011,91276115,46809027,44467088,950
Predicted Values,,,,
2021,86223556,44760325,41463231,926
2031,93152963,48335490,44817473,927
2041,100082369,51910655,48171714,928
2051,107011775,55485819,51525956,929
